,coef,RRR,p_value,sig
const,-3.0658617155212817,0.0466136568413253,6.742272343399741e-13,***
female_bin,-0.5874907952559787,0.555719951899934,2.0060422952906687e-05,***
educ_ord,0.2604035040921038,1.2974535088573103,0.009702098490086753,***
inc_q_ord,0.14493323099282715,1.1559623852304752,0.0015368471038155504,***
employed_bin,0.2621595110871251,1.29973384785423,0.06889342408205004,*
urban_bin,0.08705609715728911,1.0909578776374047,0.48582698701401617,
account_fin_bin,0.24033762024613045,1.271678422233796,0.18032203090887178,
account_mob_bin,0.34189791636032707,1.4076165955540796,0.16710043453888113,
saved_bin,0.058313350683349585,1.0600471101597766,0.6635077700525585,
borrowed_bin,-0.37548857125847246,0.686953571018361,0.004036303868314444,***
anydigpayment_bin,-0.4330870214629982,0.6485040555777535,0.027146896919341662,**
internet_use_bin,0.3624649754897688,1.4368668945455512,0.017912681973265027,**
fin24a_ord,-0.19621281967396884,0.8218373129164603,0.042881738310404934,**
receive_wages_recv,-0.5765064778443044,0.561857804591152,2.5981396742569872e-05,***
receive_transfers_recv,0.23756150074839097,1.2681529867502337,0.18697621199206016,
receive_pensions_recv,-0.1400452052652888,0.869318936717404,0.7089683899514008,
receive_agriculture_recv,0.2596517233761417,1.2964784748812863,0.1296006442758918,
dig_account_bin,-0.23291158061930586,0.7922236183493141,0.29483310101691673,
merchantpay_dig_bin,0.5150187902957232,1.673669950255374,0.010148379591574658,**
has_mobile_phone_bin,-0.026799006980246946,0.9735569000019167,0.8760301890770624,
age_c,-0.06597176736597016,0.9361572941048043,0.18287384171917165,
age_c_sq,-0.011208328149440805,0.9888542511392292,0.6979423019844881,
fin28_bin,0.4537722785876827,1.5742394686191,0.11947670751406729,
fin29_bin,0.5026403976245815,1.6530803026832404,0.16211258551693863,
fin24_Don't_know_Refused,-0.5956748049429287,0.551190494274042,0.4837634283736406,
fin24_Family_relatives_or_friends,-0.16314940986161322,0.8494642605950715,0.44824638509573056,
fin24_I_could_not_come_up_with_the_money,-1.003774171405075,0.3664936179163236,0.029666071731821706,**
fin24_Money_from_working,0.4612774954295041,1.5860989254209874,0.034993468786813295,**
fin24_Savings,0.3192821954469315,1.3761396104496673,0.19553212159121847,
fin24_Selling_something_you_own_such_as_jewelery_or_livestock,0.16065951852432941,1.17428507842374,0.528318397021485,
fin24_Some_other_source,0.7329822498130348,2.081278253298752,0.2046245256516881,
pay_utilities_From_an_account,-0.1103644304528643,0.8955077255373516,0.5382570757045009,
pay_utilities_In_cash_only,-0.24196185140227455,0.7850861269153983,0.08498120732356279,*
pay_utilities_Other_DK,0.7820511631119124,2.1859514130996023,0.09343559915112247,*
domestic_remittances_Not_Applicable,2.050824058684936,7.77430495088663,0.05730071266364212,*
domestic_remittances_Not_using_an_account,0.47525067099524515,1.6084173305298046,0.007015833145838636,***
domestic_remittances_Using_an_account,-0.28666011497762406,0.7507668598879725,0.5068324643194582,
economy_India,1.7280360188080583,5.629586641751124,6.058395926520065e-10,***
economy_Nepal,1.255652255706294,3.51012712828427,8.678902413355388e-05,***
economy_Pakistan,1.5031910030761693,4.49601299563835,5.461102332028987e-08,***
economy_Sri_Lanka,1.0009089165537532,2.720753642977095,0.0022165366695676234,***
