,coef,RRR,p_value,sig
const,-1.6825439234272985,0.18590045746838402,9.015919370352572e-09,***
female_bin,0.41217446889270115,1.5100978784515726,6.0251361393330487e-05,***
educ_ord,0.16055125893266103,1.1741579576817915,0.05200614164136618,*
inc_q_ord,0.002773204888886199,1.0027770537786616,0.9353665838445161,
employed_bin,-0.014486015262393239,0.9856184022507386,0.8919326982961138,
urban_bin,-0.10625483311626734,0.8991954740918077,0.28766247691252855,
account_fin_bin,0.08015278118229924,1.0834525861976632,0.5424635904608281,
account_mob_bin,0.43376611982772667,1.5430579352548872,0.030919127458000975,**
saved_bin,-0.06735777059505238,0.9348606758383657,0.5159344824777083,
borrowed_bin,-0.2588897765127695,0.7719081007575231,0.009614937150226772,***
anydigpayment_bin,-0.23199163925569002,0.7929527529541865,0.11128208283707837,
internet_use_bin,0.16303003148864398,1.1770720383832312,0.14869327185642198,
fin24a_ord,-0.23455866397148872,0.7909198340317982,0.003045525004879331,***
receive_wages_recv,-0.427015547845217,0.6524534079044421,0.00019994888960119702,***
receive_transfers_recv,0.438141071826559,1.5498235284345137,0.0014067883505944408,***
receive_pensions_recv,-0.37871936212071067,0.684737749054407,0.25028999426820575,
receive_agriculture_recv,0.35318709212164034,1.4235974623893362,0.010016998972618298,**
dig_account_bin,-0.248232624362177,0.7801784336565593,0.13254066074950116,
merchantpay_dig_bin,0.3287027115424778,1.3891648115299735,0.06510674660310797,*
has_mobile_phone_bin,-0.14547776183398411,0.8646091171812517,0.20043070907785776,
age_c,-0.31591598654555786,0.7291207035435439,7.620101409624553e-16,***
age_c_sq,-0.025252762945337983,0.9750634209755656,0.2665328807633429,
fin28_bin,-0.18788202976841556,0.8287124648677192,0.5183854351880601,
fin29_bin,-1.033513563944009,0.3557547948550628,0.0010881376911419602,***
fin24_Don't_know_Refused,-0.16918174385755785,0.844355433026761,0.7398313709158277,
fin24_Family_relatives_or_friends,0.1951808252082921,1.2155307652221712,0.20235346049174263,
fin24_I_could_not_come_up_with_the_money,-0.727378588150649,0.4831739292660384,0.029065327246599538,**
fin24_Money_from_working,0.23244130920667427,1.2616763953973864,0.16381033895206876,
fin24_Savings,0.06325129562951072,1.0652945094520856,0.7502027511194141,
fin24_Selling_something_you_own_such_as_jewelery_or_livestock,0.35967747309331594,1.4328672018000355,0.05176767010435778,*
fin24_Some_other_source,0.7347703688207833,2.085003155795877,0.11002919894854675,
pay_utilities_From_an_account,-0.2549640156521056,0.774944383327648,0.10435715103048385,
pay_utilities_In_cash_only,-0.05771722360863424,0.9439168270955022,0.5843957162184719,
pay_utilities_Other_DK,-0.20875966593947576,0.8115902649902423,0.6809686664287236,
domestic_remittances_Not_Applicable,1.232858763984911,3.4310240174566626,0.24699185688490988,
domestic_remittances_Not_using_an_account,0.060109848076387265,1.0619531936540483,0.6826281572879466,
domestic_remittances_Using_an_account,0.8865213458519036,2.426673394151701,0.017056186187500707,**
economy_India,1.4468143732232064,4.249555431972716,2.2049072087446947e-17,***
economy_Nepal,1.4366870800482656,4.206736126051358,2.706188739589305e-14,***
economy_Pakistan,-0.7426367524227288,0.4758575413500941,0.0007676554520490568,***
economy_Sri_Lanka,1.0456833400341883,2.8453421957149656,1.0319988483084559e-07,***
