,coef,RRR,p_value,sig
const,-1.8443352139422404,0.15813040884638224,2.399573874094166e-10,***
female_bin,0.17332262844962834,1.189249728992997,0.0808688585818063,*
educ_ord,0.15371429093904634,1.1661576573681647,0.07224635742718136,*
inc_q_ord,0.1284218264728397,1.1370325319733445,0.00014401869476088035,***
employed_bin,0.02753610710438611,1.0279187296060703,0.7931136370636209,
urban_bin,0.011661916392221782,1.0117301816490052,0.9060665854825823,
account_fin_bin,-0.10298051780043024,0.9021445490704562,0.4249612719722615,
account_mob_bin,0.29657710521590624,1.345246281503448,0.13741748989831945,
saved_bin,-0.00407201792342324,0.9959362614997621,0.9687059955874966,
borrowed_bin,-0.2322228646677185,0.7927694233232172,0.01890628049079408,**
anydigpayment_bin,0.04021416656103892,1.0410337049278917,0.7756783839152284,
internet_use_bin,0.05049218164259316,1.0517886400633525,0.6672982286851373,
fin24a_ord,-0.22207146496353078,0.8008581289925409,0.004449948330640139,***
receive_wages_recv,-0.23092122999605819,0.7938019913586388,0.038899770916421834,**
receive_transfers_recv,0.19023149380600302,1.2095295638529906,0.15728499138010038,
receive_pensions_recv,0.22193652351571846,1.2484921254582007,0.30302598422784754,
receive_agriculture_recv,0.25786893368399927,1.2941691855204598,0.045710817071432666,**
dig_account_bin,-0.23974985392981538,0.7868246575476039,0.15098691175811413,
merchantpay_dig_bin,0.3430468747615456,1.409234817924311,0.05385424689761311,*
has_mobile_phone_bin,-0.04330942032826725,0.9576150386612042,0.7029079852948704,
age_c,0.15528678484297911,1.1679928757320779,2.979917297951174e-05,***
age_c_sq,0.058447561550642874,1.0601893895493093,0.0003536670918334427,***
fin28_bin,0.6633518743752808,1.9412883961587044,0.00987296682748621,***
fin29_bin,0.2744735406532423,1.3158377574009867,0.36769087231719655,
fin24_Don't_know_Refused,-0.2686986103669359,0.764373595212862,0.5383597930364376,
fin24_Family_relatives_or_friends,0.06614022515890527,1.0683765199299675,0.6602906864711433,
fin24_I_could_not_come_up_with_the_money,-0.6026331737273148,0.5473684206649845,0.0508781674922597,*
fin24_Money_from_working,-0.19635036681395499,0.8217242793184371,0.25570670183460564,
fin24_Savings,0.1586103390447455,1.171881221346327,0.4083632580184693,
fin24_Selling_something_you_own_such_as_jewelery_or_livestock,0.03798949155075985,1.038720317481415,0.8361933152140896,
fin24_Some_other_source,0.8697025988752838,2.386201089099442,0.039385342021854904,**
pay_utilities_From_an_account,-0.31674100943569106,0.728519410347882,0.039733816115278486,**
pay_utilities_In_cash_only,-0.1712414797887339,0.8426180736676513,0.09452654290361275,*
pay_utilities_Other_DK,0.302933305917494,1.3538241693703978,0.468704800916356,
domestic_remittances_Not_Applicable,-5.6084621617071075,0.003666703821719067,0.7461418825217299,
domestic_remittances_Not_using_an_account,0.09565419042003888,1.100378476773567,0.4990161132610832,
domestic_remittances_Using_an_account,-0.4729480691089043,0.6231624317177712,0.1906172920909882,
economy_India,1.210791104996053,3.3561386606729684,6.785870840418171e-12,***
economy_Nepal,1.9087141263071143,6.744410759926049,6.774695239835299e-25,***
economy_Pakistan,-0.08114383590700186,0.9220610564176361,0.6793853726675976,
economy_Sri_Lanka,0.8491396812600847,2.3376348754891083,1.175976181532617e-05,***
