feature,mean_abs_shap
age_c,0.34046456
economy_India,0.18159537
inc_q_ord,0.15895222
age_c_sq,0.14200358
economy_Pakistan,0.14023261
fin24a_ord,0.13797784
female_bin,0.12556194
economy_Nepal,0.124919154
borrowed_bin,0.08637551
internet_use_bin,0.07224739
receive_wages_recv,0.06778539
educ_ord,0.06505834
fin24_Money_from_working,0.05940911
pay_utilities_In_cash_only,0.059132528
economy_Sri_Lanka,0.054395627
receive_transfers_recv,0.053056743
account_fin_bin,0.051568598
urban_bin,0.05148076
has_mobile_phone_bin,0.05020508
fin29_bin,0.04987036
employed_bin,0.049675334
saved_bin,0.04948085
anydigpayment_bin,0.04923689
fin24_Family_relatives_or_friends,0.04626486
pay_utilities_From_an_account,0.043606456
account_mob_bin,0.041825663
receive_agriculture_recv,0.038528223
merchantpay_dig_bin,0.038423907
dig_account_bin,0.03346893
fin28_bin,0.032968625
fin24_Selling_something_you_own_such_as_jewelery_or_livestock,0.031562995
fin24_Savings,0.03114271
domestic_remittances_Not_using_an_account,0.030543158
domestic_remittances_Using_an_account,0.025722416
receive_pensions_recv,0.019764917
fin24_I_could_not_come_up_with_the_money,0.01934011
fin24_Some_other_source,0.0073066554
fin24_Don't_know_Refused,0.0050516496
pay_utilities_Other_DK,0.004222219
domestic_remittances_Not_Applicable,0.0023335286
