feature,VIF
domestic_remittances_Using_an_account,8.765772975181585
fin29_bin,5.053159709756983
economy_India,3.4275494093243375
account_mob_bin,3.3732553759617434
dig_account_bin,3.1833181855398993
fin24_Family_relatives_or_friends,3.1333705063361825
fin24_I_could_not_come_up_with_the_money,3.1152827142121495
fin28_bin,3.03695806435505
anydigpayment_bin,2.7444358531600725
fin24a_ord,2.7415351989619934
fin24_Money_from_working,2.4457015598470826
economy_Sri_Lanka,2.3988211356076903
economy_Nepal,2.158656920409834
fin24_Savings,2.1523994422266877
account_fin_bin,2.072022871306226
merchantpay_dig_bin,2.0014614317674173
fin24_Selling_something_you_own_such_as_jewelery_or_livestock,1.9083559922457898
economy_Pakistan,1.8925433248468415
age_c,1.8315609341587669
internet_use_bin,1.8145492628511404
age_c_sq,1.6681010644106231
fin24_Don't_know_Refused,1.568177510511798
employed_bin,1.5610125566237163
educ_ord,1.4434984734377134
pay_utilities_From_an_account,1.4404647812181424
receive_wages_recv,1.3802581264626943
female_bin,1.3779822028527389
saved_bin,1.357069928680725
has_mobile_phone_bin,1.3434869046057096
receive_transfers_recv,1.3112413759196744
inc_q_ord,1.2653518796729495
pay_utilities_In_cash_only,1.1992898181215983
borrowed_bin,1.1990392440747526
urban_bin,1.1854145314008553
receive_pensions_recv,1.1787852291192928
receive_agriculture_recv,1.1469041396805486
fin24_Some_other_source,1.1164138977355393
domestic_remittances_Not_using_an_account,1.0762589450105144
pay_utilities_Other_DK,1.0209699763356974
domestic_remittances_Not_Applicable,1.0101774833957984
